Longitude,Latitude
-55.2,4.933
-55.2,4.933
-55.167,4.917
-56.607,2.289
-56.181,3.899
-90.817,17.6
-90,13.85
-90,13.8
-71.6708,18.0831
-76.3861,18.1322
-77.4067,18.4436
-75.53,8.82
-75.53,8.82
-60.8147,-13.9075
-90.1,14.917
-89.833,14.95
-89.833,14.95
-89.833,14.95
-89.833,14.95
-89.833,14.95
-89.833,14.95
-89.833,14.95
-89.833,14.95
-89.333,16.3
-89.333,16.3
-89.333,16.3
-89.617,17.2
-89.617,17.2
-89.617,17.2
-89.617,17.2
-89.617,17.2
-89.617,17.2
-89.617,17.2
-89.617,17.2
-89.617,17.2
-89.617,17.2
-89.617,17.3
-89.733,17
-89.733,17
-89.733,17
-89.733,17
-89.733,17
-89.733,17
-89.733,17
-89.733,17
-89.733,17
-89.717,17
-89.717,17
-89.717,17
-90.817,17.6
-90.817,17.6
-90.817,17.6
-90.817,17.6
-90.817,17.6
-90.817,17.6
-90.817,17.6
-90.817,17.6
-90.817,17.6
-89.733,17
-89.733,17
-89.733,17
-91.15,14.75
-90,13.8
-90,13.8
-90,13.8
-90,13.8
-90,13.8
-90,13.8
-90,13.8
-76.45,-0.65
-76.45,-0.65
-76.45,-0.65
-76.45,-0.65
-76.45,-0.65
-76.47,-0.62
-76.47,-0.62
-76.433,-0.683
-76.4,-0.8
-76.4,-0.8
-76.4,-0.8
-76.433,-0.683
-76.433,-0.683
-76.433,-0.683
-76.433,-0.683
-76.433,-0.683
-76.45,-0.633
-76.433,-0.783
-76.433,-0.783
-76.333,-0.833
-76.333,-0.833
-76.333,-0.833
-76.333,-0.833
-76.333,-0.833
-76.45,-0.65
-76.45,-0.65
-76.45,-0.65
-76.45,-0.65
-76.45,-0.65
-76.45,-0.65
-76.45,-0.65
-76.45,-0.65
-76.45,-0.65
-76.45,-0.633
-76.45,-0.633
-76.45,-0.633
-76.45,-0.65
-76.45,-0.65
-76.433,-0.683
-76.433,-0.683
-76.433,-0.683
-76.433,-0.683
-76.433,-0.683
-76.433,-0.683
-76.433,-0.683
-76.433,-0.683
-76.433,-0.683
-76.45,-0.65
-76.45,-0.65
-76.45,-0.65
-76.45,-0.65
-76.45,-0.65
-76.45,-0.65
-76.45,-0.65
-76.45,-0.65
-76.45,-0.65
-76.45,-0.65
-76.35,-0.833
-76.35,-0.833
-76.35,-0.833
-76.45,-0.65
-76.45,-0.65
-76.35,-0.833
-76.35,-0.833
-76.4,-0.8
-76.4,-0.8
-76.77,-0.75
-76.77,-0.75
-76.45,-0.65
-76.45,-0.65
-76.45,-0.633
-76.45,-0.65
-76.45,-0.65
-76.45,-0.65
-76.45,-0.633
-76.4,-0.8
-76.4,-0.8
-76.4,-0.8
-76.333,-0.833
-76.4,-0.68
-76.394856,-0.676491
-76.394856,-0.676491
-76.394856,-0.676491
-76.394856,-0.676491
-76.394856,-0.676491
-76.19,-1.06
-76.19,-1.06
-76.19,-1.06
-76.5,-0.69
-59.8,3.38
-76.454,-0.657
-76.454,-0.657
-76.454,-0.657
-76.399,-0.816
-59.8,3.38
-59.8,3.38
-59.3,3.75
