ID,Longitude,Latitude
Cormura_brevirostris,-57.333,5.333
Cormura_brevirostris,-58.85,4.333
Cormura_brevirostris,-58.85,4.333
Cormura_brevirostris,-58.7,5.15
Cormura_brevirostris,-59.05,4.1
Cormura_brevirostris,-59.05,4.1
Cormura_brevirostris,-58.909,4.25
Cormura_brevirostris,-58.909,4.25
Cormura_brevirostris,-58.909,4.25
Cormura_brevirostris,-59.481,5.175
Cormura_brevirostris,-53.6556,5.4083
Cormura_brevirostris,-76.45,-0.65
Cormura_brevirostris,-76.45,-0.65
Cormura_brevirostris,-76.45,-0.65
Cormura_brevirostris,-76.767,-0.75
Cormura_brevirostris,-76.767,-0.75
Cormura_brevirostris,-76.45,-0.65
Cormura_brevirostris,-76.45,-0.65
Cyttarops_alecto,-83.517,10.567
Cyttarops_alecto,-58.217,6.5
Dermanura_anderseni,-75.2175,8.03022
Dermanura_anderseni,-75.2175,8.03022
Dermanura_anderseni,-75.2175,8.03022
Dermanura_anderseni,-76.47,-0.62
Dermanura_anderseni,-76.433,-0.683
Dermanura_anderseni,-76.333,-0.833
Dermanura_anderseni,-76.45,-0.633
Dermanura_anderseni,-76.217,-0.983
Dermanura_anderseni,-76.4,-0.667
Dermanura_anderseni,-76.35,-0.833
Dermanura_anderseni,-76.433,-0.683
Dermanura_anderseni,-76.433,-0.683
Dermanura_anderseni,-76.333,-0.833
Dermanura_anderseni,-76.45,-0.65
Dermanura_anderseni,-76.45,-0.65
Dermanura_anderseni,-76.4,-0.8
Dermanura_anderseni,-76.382,-0.68
Dermanura_anderseni,-73.28,-4.15
Dermanura_anderseni,-79.7,9.1
Dermanura_anderseni,-79.75,9.15
Dermanura_anderseni,-79.7,9.1
Dermanura_anderseni,-79.7,9.1
Dermanura_anderseni,-79.93,8.68
Dermanura_anderseni,-77.72,8
Dermanura_anderseni,-79.1,8.38
Dermanura_anderseni,-79.1,8.38
Dermanura_anderseni,-82.21,9.33
Dermanura_anderseni,-82.21,9.33
Dermanura_anderseni,-82.03,9.15
Dermanura_anderseni,-81.9,9.1
Dermanura_anderseni,-81.9,9.1
Dermanura_anderseni,-82.101,9.101
Dermanura_anderseni,-82.101,9.101
Dermanura_watsoni,-83.53,10.6
Dermanura_watsoni,-83.53,10.6
Dermanura_watsoni,-83.517,10.57
Dermanura_watsoni,-79.933,8.68
Dermanura_watsoni,-79.933,8.68
Dermanura_watsoni,-83.53299999,10.6
Dermanura_watsoni,-83.53299999,10.6
Dermanura_watsoni,-83.53299999,10.6
Dermanura_watsoni,-83.53299999,10.6
Dermanura_watsoni,-83.53299999,10.6
Dermanura_watsoni,-81.81,8.91
Dermanura_watsoni,-81.81,8.91
Dermanura_watsoni,-81.81,8.91
Dermanura_watsoni,-81.81,8.91
Dermanura_watsoni,-81.501,9.01
Dermanura_watsoni,-81.501,9.01
Dermanura_watsoni,-81.501,9.01
Dermanura_watsoni,-81.501,9.01
Dermanura_watsoni,-81.501,9.01
Dermanura_watsoni,-81.501,9.01
Dermanura_watsoni,-81.501,9.01
Dermanura_watsoni,-81.501,9.01
Dermanura_watsoni,-81.501,9.01
Dermanura_watsoni,-81.501,9.01
Dermanura_watsoni,-81.501,9.01
Dermanura_watsoni,-81.501,9.01
Dermanura_watsoni,-78.55,0.901
Dermanura_watsoni,-78.55,0.901
Dermanura_watsoni,-78.55,0.901
Desmodus_rotundus,-85.612,10.832
Desmodus_rotundus,-79.1,8.38
Desmodus_rotundus,-81.91,9.16
Desmodus_rotundus,-85.612,10.832
Desmodus_rotundus,-85.612,10.832
Desmodus_rotundus,-83.517,10.567
Desmodus_rotundus,-83.53,10.6
Desmodus_rotundus,-83.53,10.6
Desmodus_rotundus,-88.235,18.608
Desmodus_rotundus,-88.183,19.133
Desmodus_rotundus,-89.367,14.4
Desmodus_rotundus,-88.183,19.133
Desmodus_rotundus,-88.5,18.1
Desmodus_rotundus,-88.5,18.1
Desmodus_rotundus,-88.5,18.1
Desmodus_rotundus,-88.5,18.1
Desmodus_rotundus,-88.5,18.1
Desmodus_rotundus,-88.183,19.133
Desmodus_rotundus,-88.183,19.133
Desmodus_rotundus,-89.833,14.95
Desmodus_rotundus,-89.717,17.01
Desmodus_rotundus,-92.116,18.133
Desmodus_rotundus,-92.116,18.133
Desmodus_rotundus,-92.116,18.133
Desmodus_rotundus,-82.25,8.351
Desmodus_rotundus,-79.933,8.683
Desmodus_rotundus,-79.933,8.683
Desmodus_rotundus,-81.746,8.218
Desmodus_rotundus,-75.217,8.03
Desmodus_rotundus,-75.217,8.03
Desmodus_rotundus,-75.217,8.03
Desmodus_rotundus,-76.4,-0.8
Desmodus_rotundus,-76.4,-0.8
Desmodus_rotundus,-76.4,-0.8
Desmodus_rotundus,-76.4,-0.8
Desmodus_rotundus,-76.317,-0.833
Desmodus_rotundus,-76.45,-0.633
Desmodus_rotundus,-58.22,6.5
Desmodus_rotundus,-58.22,6.5
Desmodus_rotundus,-58.22,6.5
Desmodus_rotundus,-58.22,6.5
Desmodus_rotundus,-58.22,6.5
Desmodus_rotundus,-58.583,6.483
Desmodus_rotundus,-58.583,6.483
Desmodus_rotundus,-58.7,5.15
Desmodus_rotundus,-58.7,5.15
Desmodus_rotundus,-58.7,5.15
Desmodus_rotundus,-58.7,5.15
Desmodus_rotundus,-58.7,5.15
Desmodus_rotundus,-58.7,5.15
Desmodus_rotundus,-58.783,4.467
Desmodus_rotundus,-58.783,4.467
Desmodus_rotundus,-59.493,5.166
Desmodus_rotundus,-59.48,5.18
Desmodus_rotundus,-59.493,5.166
Desmodus_rotundus,-59.48,5.18
Desmodus_rotundus,-58.783,3.267
Desmodus_rotundus,-58.22,6.5
Desmodus_rotundus,-59.92,5.3
Desmodus_rotundus,-58.517,4.283
Desmodus_rotundus,-58.917,4.383
Desmodus_rotundus,-58.783,3.267
Desmodus_rotundus,-61.1,5.8
Desmodus_rotundus,-58.833,1.533
Desmodus_rotundus,-58.633,1.65
Desmodus_rotundus,-58.633,1.65
Desmodus_rotundus,-58.633,1.65
Desmodus_rotundus,-58.85,4.73
Desmodus_rotundus,-59.716,3.266
Desmodus_rotundus,-58.87,4.38
Desmodus_rotundus,-59.1,3.916
Desmodus_rotundus,-59.1,3.916
Desmodus_rotundus,-57.3,5.167
Desmodus_rotundus,-57.3,5.167
Desmodus_rotundus,-59.526,2.824
Desmodus_rotundus,-59.476,2.486
Desmodus_rotundus,-58.233,3.506
Desmodus_rotundus,-59.476,2.486
Desmodus_rotundus,-59.526,2.824
Desmodus_rotundus,-59.526,2.824
Desmodus_rotundus,-59.526,2.824
Desmodus_rotundus,-58.233,3.506
Desmodus_rotundus,-59.526,2.824
Desmodus_rotundus,-59.526,2.824
Desmodus_rotundus,-59.526,2.824
Desmodus_rotundus,-59.526,2.824
Desmodus_rotundus,-59.526,2.824
Desmodus_rotundus,-59.526,2.824
Desmodus_rotundus,-59.526,2.824
Desmodus_rotundus,-59.476,2.486
Desmodus_rotundus,-59.435,2.279
Desmodus_rotundus,-59.526,2.824
Desmodus_rotundus,-59.526,2.824
Desmodus_rotundus,-59.526,2.824
Desmodus_rotundus,-59.526,2.824
Desmodus_rotundus,-59.526,2.824
Desmodus_rotundus,-59.526,2.824
Desmodus_rotundus,-59.476,2.486
Desmodus_rotundus,-59.526,2.824
Desmodus_rotundus,-59.526,2.824
Desmodus_rotundus,-57.3,5.167
Desmodus_rotundus,-57.161,4.614
Desmodus_rotundus,-56.789,2.354
Desmodus_rotundus,-56.789,2.354
Desmodus_rotundus,-56.092,1.994
Desmodus_rotundus,-56.092,1.994
Desmodus_rotundus,-57.042,4.478
Desmodus_rotundus,-60.483,7.367
Desmodus_rotundus,-67.41,6.05
Desmodus_rotundus,-49.667,-22.383
Desmodus_rotundus,-49.667,-22.383
Desmodus_rotundus,-49.667,-22.383
Desmodus_rotundus,-49.667,-22.383
Desmodus_rotundus,-49.667,-22.383
Desmodus_rotundus,-49.667,-22.383
Desmodus_rotundus,-49.667,-22.383
Desmodus_rotundus,-49.667,-22.383
Diclidurus_albus,-88.65,17.76
Diclidurus_albus,-58.85,4.733
Eumops_hansae,-89.0349,17.6362
Eumops_hansae,-89.035,17.6363
Eumops_hansae,-58.817,4.333
Eumops_hansae,-59.05,4.101
Eumops_hansae,-59.05,4.101
Eumops_hansae,-58.85,4.667
Eumops_hansae,-58.717,4.733
Eumops_hansae,-59.083,4.533
Eumops_hansae,-59.017,4.75
Eumops_hansae,-76.45,-0.65
Eumops_hansae,-58.85,4.367
Eumops_hansae,-58.005,4.758
Eumops_hansae,-58.005,4.758
Eumops_hansae,-58.005,4.758
Furipterus_horrens,-58.909,4.25
Furipterus_horrens,-56.994,4.811
Furipterus_horrens,-56.994,4.811
Furipterus_horrens,-57.333,5.333
Furipterus_horrens,-39.844,-18.355
Furipterus_horrens,-76.45,-0.65
Glyphonycteris_silvestris,-58.767,1.367
Glyphonycteris_silvestris,-58.85,4.73
Glyphonycteris_silvestris,-58.917,4.383
Glyphonycteris_silvestris,-59.083,4.533
Glyphonycteris_silvestris,-78.16,-2.094
Histiotus_humboldti,-75.6703,5.9703
Histiotus_humboldti,-65.99,0.8859
Histiotus_humboldti,-66.9,10.53
Histiotus_montanus,-71.7333,-17.0667
Histiotus_montanus,-56.6838,-34.1675
Histiotus_montanus,-56.6836,-34.1672
Histiotus_sp1,-71.6045,-13.1777
Histiotus_velatus,-70.7167,-13.4
Histiotus_velatus,-42.8847,-20.7433
Histiotus_velatus,-47.6908,-23.3544
Histiotus_velatus,-47.6908,-23.3544
Hsunycteris_thomasi,-76.394,-0.676
Hsunycteris_thomasi,-76.77,-0.75
Hsunycteris_thomasi,-76.45,-0.65
Hsunycteris_thomasi,-76.394856,-0.676491
Hsunycteris_thomasi,-76.45,-0.65
Hsunycteris_thomasi,-76.317,-0.833
Hsunycteris_thomasi,-76.47,-0.62
Hsunycteris_thomasi,-76.47,-0.62
Hsunycteris_thomasi,-76.45,-0.633
Hsunycteris_thomasi,-76.45,-0.65
Hsunycteris_thomasi,-76.19,-1.06
Hsunycteris_thomasi,-76.217,-0.983
Hsunycteris_thomasi,-76.433,-0.683
Hsunycteris_thomasi,-76.47,-0.62
Hsunycteris_thomasi,-76.45,-0.633
Hsunycteris_thomasi,-76.77,-0.75
Hsunycteris_thomasi,-76.433,-0.683
Hsunycteris_thomasi,-76.45,-0.65
Hsunycteris_thomasi,-76.45,-0.65
Hsunycteris_thomasi,-76.45,-0.65
Hsunycteris_thomasi,-76.35,-0.833
Hsunycteris_thomasi,-76.4,-0.68
Hsunycteris_thomasi,-76.4,-0.68
Hsunycteris_thomasi,-76.433,-0.683
Hsunycteris_thomasi,-76.47,-0.62
Hsunycteris_thomasi,-76.45,-0.65
Hsunycteris_thomasi,-76.35,-0.833
Hsunycteris_thomasi,-76.35,-0.833
Hsunycteris_thomasi,-76.433,-0.683
Hsunycteris_thomasi,-76.47,-0.62
Hsunycteris_thomasi,-76.454,-0.657
Hsunycteris_thomasi,-66.117,6.433
Hsunycteris_thomasi,-76.95,-1.1167
Hsunycteris_thomasi,-58.767,1.367
Hsunycteris_thomasi,-59.92,5.33
Hsunycteris_thomasi,-59.15,7.566
Hsunycteris_thomasi,-57.333,5.333
Hsunycteris_thomasi,-57.333,5.333
Hsunycteris_thomasi,-57.333,5.333
Hsunycteris_thomasi,-57.3,5.167
Hsunycteris_thomasi,-60.483,7.367
Hsunycteris_thomasi,-60.483,7.367
Hsunycteris_thomasi,-60.45,7.35
Hsunycteris_thomasi,-60.483,7.367
Hsunycteris_thomasi,-58.7,5.15
Hsunycteris_thomasi,-58.767,1.367
Hsunycteris_thomasi,-58.633,1.583
Hsunycteris_thomasi,-58.22,6.5
Hsunycteris_thomasi,-58.663,5.033
Hsunycteris_thomasi,-58.783,3.267
Hsunycteris_thomasi,-58.817,3.183
Hsunycteris_thomasi,-58.817,3.183
Hsunycteris_thomasi,-58.817,3.183
Hsunycteris_thomasi,-58.817,3.183
Hsunycteris_thomasi,-58.22,6.5
